ChainID,store_num,address,address2,city,state,zip,latitude,longitude,phone,hours,departments,New Store,Open Date,Comments
8,3,200 South Main Street,K-Mart Plaza,West Lebanon,NH,3784,43.63298,-72.32029,603-298-8733,"Sun: 9:00am-8:00pm, Mon-Thu: 9:00am-9:30pm, Fri-Sat: 9:00am-10:00pm",,N,NULL,
8,4,980 Fairplain Drive,Fairplain Plaza,Benton Harbor,MI,49022,42.0869,-86.4364,269-925-5689,"Sun: 11:00am-8:00pm, Mon-Thu: 9:00am-9:30pm, Fri-Sat: 9:00am-10:00pm",LAY,N,NULL,
8,5,1757 E WEST CONNECTOR STE 300,East West Commons,Austell,GA,30106,33.8536844,-84.60138917,770-745-9402,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",,N,NULL,
8,6,7735 N. Macarthur Blvd.,MacArthur Park,Irving,TX,75063,32.9136,-96.9601,972-556-0206,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",HOM$LAY,N,"Thursday, October 12, 2006",
8,7,179 Pavilion Parkway,Newport Pavilion,Newport,KY,41071,39.089109,-84.4761,859-261-1042,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",,N,"Thursday, May 15, 2014",
8,8,15150 Crossroads Parkway,Crossroads Center,Gulfport,MS,39503,30.433,-89.0942,228-539-4794,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",LAY,N,NULL,
8,9,3205 Woodward Crossing Blvd,Mall Of Georgia Suite 5000,Buford,GA,30519,34.06254,-83.98801,678-482-4001,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",DEL$HOM,N,NULL,
8,10,8111 Concord Blvd.,The Concord Mills,Concord,NC,28027,35.3658,-80.719,704-979-1020,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",HOM,N,NULL,
8,12,567 Bullsboro Drive,Newnan Crossing,Newnan,GA,30263,33.3939,-84.7568,770-252-7840,"Sun: 9:00am-8:00pm, Mon-Sat: 9:00am-9:30p ",DEL,N,NULL,
8,13,305 Paul Huff Pkwy NW,Hickory Grove Shopping Center,Cleveland,TN,37312,35.1978,-84.8526,423-472-4782,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",$LAY,N,NULL,
